capture,x,y,w,h
Screenshot_20240715_225008_com.xiachufang.jpg,66,11450,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,12262,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,14202,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,626,14202,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,14866,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,16572,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,626,16573,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,18276,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,626,18278,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,18940,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,19752,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,21692,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,626,21692,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,23398,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,626,23398,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,626,25102,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,25102,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,25766,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,26578,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,626,28521,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,29182,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,30888,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,626,30888,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,32592,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,626,32592,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,33404,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,35344,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,626,35344,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,36010,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,37714,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,626,37714,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,38526,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,39338,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,6046,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,28521,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,1890,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,626,1890,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,2554,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,626,4258,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,4260,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,6628,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,626,6628,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,7292,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,8104,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,10044,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,626,10044,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,10708,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,12412,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,626,12412,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,14782,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,15594,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,17534,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,626,17534,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,18198,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,626,19902,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,20714,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,21526,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,23466,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,626,23466,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,24130,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,25836,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,626,25836,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,26500,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,626,28204,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,28868,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,29680,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,31620,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,626,31620,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,33324,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,33990,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,35694,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,626,35694,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,36358,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,4918,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,13072,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,626,14775,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,19903,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,28203,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,626,33321,528,528
Screenshot_20240715_225113_com.xiachufang.jpg,66,37166,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,66,1876,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,626,1876,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,66,2540,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,626,4244,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,66,4246,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,66,4908,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,66,6614,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,626,6614,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,66,7426,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,66,9366,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,626,9366,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,66,10030,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,66,11734,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,626,11734,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,626,11820,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,66,13440,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,66,14104,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,66,14916,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,66,16856,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,626,16856,528,528
